sample,Genotype,Altitude,Precipitation,Temperature
AHHS_W,MA,332.01,1126.33,16.8
AHJZ_P,MA,429.22,1126.33,16.8
AHSZ_W,MA,64.3,1126.33,16.8
HBHA_P,MA,64.33,858.43,16.9
HBHM_W,MA,148.31,858.43,16.9
HBLT_W,MA,671.98,1126.33,16.8
HBYX_P,SA,724.31,743.61,15.7
HBYX_W,SA,853.54,743.61,15.7
HNSX_P,SA,684.43,684.8,15.9
HNSX_W,SA,1158.19,684.8,15.9
SXXY_W,SA,1623.45,540.48,12.8
SXYZ_P,SA,1131.33,498.48,12.7
AHYX_P,MA,552.26,1126.33,16.8
JSJH_P,MA,114.58,1005.73,16.9
JSJR_P,MA,122.49,1005.73,16.9
JSTS_W,MA,145.6,975.94,16.6
